@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$06E438;&;&93%00.88#93131942;@06E438
@E=$06E440;D;2015/04/29,19:11:42+04;@06E440
@E=$06E448;M;01;@06E448
@E=$06E450;D;2015/04/29,19:15:00+04;@06E450
@E=$06E458;E;19:15;924;AE2;0F2;110;1;@06E458
@E=$06E460;D;2015/04/29,19:17:15+04;@06E460
@E=$06E468;A;0000D1013B1C;@06E468
@E=$06E470;D;2015/04/29,19:17:15+04;@06E470
@E=$06E478;C;2015/04/29,19:17:15+04;@06E478
@E=$06E480;E;19:30;907;AE2;0F2;0FE;1;@06E480
@E=$06E488;E;19:45;905;AE2;0F3;0FC;1;@06E488
@E=$06E490;E;20:00;904;AE2;0F4;0FA;1;@06E490
@E=$06E498;E;20:15;903;AE2;0F4;0FA;1;@06E498
@E=$06E4A0;E;20:30;903;AE2;0F4;0FA;0;@06E4A0
@E=$06E4A8;E;20:45;903;AE2;0F4;0F9;0;@06E4A8
@E=$06E4B0;E;21:00;902;AE2;0F4;0F9;0;@06E4B0
@E=$06E4B8;E;21:15;902;AE2;0F4;0F8;1;@06E4B8
@E=$06E4C0;E;21:30;902;AE2;0F4;0F8;0;@06E4C0
@E=$06E4C8;E;21:45;902;AE2;0F4;0F8;0;@06E4C8
@E=$06E4D0;E;22:00;903;AE2;0F4;0F8;0;@06E4D0
@E=$06E4D8;E;22:15;903;AE2;0F4;0F8;0;@06E4D8
@E=$06E4E0;E;22:30;903;AE2;0F4;0F8;0;@06E4E0
@E=$06E4E8;E;22:45;903;AE2;0F4;0F8;0;@06E4E8
@E=$06E4F0;E;23:00;903;AE2;0F4;0F8;0;@06E4F0
@E=$06E4F8;E;23:15;903;AE2;0F4;0F8;0;@06E4F8
@E=$06E500;E;23:30;903;AE2;0F4;0F8;0;@06E500
@E=$06E508;E;23:45;903;AE2;0F4;0F8;0;@06E508
@E=$06E510;D;2015/04/30,00:00:00+04;@06E510
@E=$06E518;E;00:00;903;AE2;0F4;0F8;0;@06E518
@E=$06E520;E;00:15;903;AE2;0F4;0F8;0;@06E520
@E=$06E528;E;00:30;903;AE2;0F4;0F8;0;@06E528
@E=$06E530;E;00:45;903;AE2;0F4;0F8;0;@06E530
@E=$06E538;E;01:00;904;AE2;0F4;0F7;0;@06E538
@E=$06E540;E;01:15;904;AE2;0F3;0F7;0;@06E540
@E=$06E548;E;01:30;904;AE2;0F3;0F7;0;@06E548
@E=$06E550;E;01:45;903;AE2;0F3;0F6;0;@06E550
@E=$06E558;E;02:00;904;AE2;0F2;0F6;0;@06E558
@E=$06E560;E;02:15;904;AE2;0F2;0F6;0;@06E560
@E=$06E568;E;02:30;904;AE2;0F2;0F6;0;@06E568
@E=$06E570;E;02:45;904;AE2;0F2;0F6;0;@06E570
@E=$06E578;E;03:00;904;AE2;0F3;0F6;0;@06E578
@E=$06E580;E;03:15;904;AE2;0F3;0F7;0;@06E580
@E=$06E588;E;03:30;904;AE2;0F3;0F6;0;@06E588
@E=$06E590;E;03:45;904;AE2;0F3;0F6;0;@06E590
@E=$06E598;E;04:00;904;AE2;0F3;0F6;0;@06E598
@E=$06E5A0;E;04:15;904;AE2;0F2;0F6;0;@06E5A0
@E=$06E5A8;E;04:30;904;AE2;0F2;0F6;0;@06E5A8
@E=$06E5B0;E;04:45;904;AE2;0F2;0F6;0;@06E5B0
@E=$06E5B8;E;05:00;8F8;AE2;0F4;0F8;1;@06E5B8
@E=$06E5C0;E;05:15;8E7;AE2;0F4;0F8;1;@06E5C0
@E=$06E5C8;E;05:30;8E5;AE2;0F2;0F6;0;@06E5C8
@E=$06E5D0;E;05:45;8E4;AE2;0F2;0F6;0;@06E5D0
@E=$06E5D8;E;06:00;8E4;AE2;0F2;0F6;0;@06E5D8
@E=$06E5E0;E;06:15;8E4;AE2;0F1;0F5;0;@06E5E0
