@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$04BBA8;&;&93%00.81#93131942;@04BBA8
@E=$04BBB0;D;2014/10/29,20:02:08+04;@04BBB0
@E=$04BBB8;M;01;@04BBB8
@E=$04BBC0;D;2014/10/29,20:15:00+04;@04BBC0
@E=$04BBC8;E;20:15;0C9;FFF;19C;1CE;1;@04BBC8
@E=$04BBD0;E;20:30;0C4;FFF;184;199;1;@04BBD0
@E=$04BBD8;E;20:45;0C0;FFF;17A;182;1;@04BBD8
@E=$04BBE0;E;21:00;E4F;FFF;17D;195;1;@04BBE0
@E=$04BBE8;E;21:15;E51;FFF;17C;178;1;@04BBE8
@E=$04BBF0;E;21:30;E48;FFF;178;16B;0;@04BBF0
@E=$04BBF8;E;21:45;E25;FFF;174;166;0;@04BBF8
@E=$04BC00;E;22:00;E00;FFF;170;162;0;@04BC00
@E=$04BC08;E;22:15;DE5;FFF;16C;160;0;@04BC08
@E=$04BC10;E;22:30;DD2;FFF;16A;160;0;@04BC10
@E=$04BC18;E;22:45;DC2;FFF;168;15F;0;@04BC18
@E=$04BC20;E;23:00;DB6;FFF;166;15E;0;@04BC20
@E=$04BC28;E;23:15;DAC;FFF;165;15E;0;@04BC28
@E=$04BC30;E;23:30;DA3;FFF;164;15E;0;@04BC30
@E=$04BC38;E;23:45;D9C;FFF;162;15E;0;@04BC38
@E=$04BC40;D;2014/10/30,00:00:00+04;@04BC40
@E=$04BC48;E;00:00;D96;FFF;162;15E;0;@04BC48
@E=$04BC50;E;00:15;D90;FFF;160;15D;0;@04BC50
@E=$04BC58;E;00:30;D8A;FFF;15E;15C;0;@04BC58
@E=$04BC60;E;00:45;D86;FFF;15E;15C;0;@04BC60
@E=$04BC68;E;01:00;D81;FFF;15D;15C;0;@04BC68
@E=$04BC70;E;01:15;D7D;FFF;15C;15C;0;@04BC70
@E=$04BC78;E;01:30;D79;FFF;15C;15C;0;@04BC78
@E=$04BC80;E;01:45;D76;FFF;15B;15C;0;@04BC80
@E=$04BC88;E;02:00;D72;FFF;15A;15B;0;@04BC88
@E=$04BC90;E;02:15;D6F;FFF;15A;15C;0;@04BC90
@E=$04BC98;E;02:30;D6C;FFF;15A;15B;0;@04BC98
@E=$04BCA0;E;02:45;D69;FFF;159;15A;0;@04BCA0
@E=$04BCA8;E;03:00;D67;FFF;159;15B;0;@04BCA8
@E=$04BCB0;E;03:15;D64;FFF;158;15A;0;@04BCB0
@E=$04BCB8;E;03:30;D61;FFF;158;15A;0;@04BCB8
@E=$04BCC0;E;03:45;D5F;FFF;158;15A;0;@04BCC0
