@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$078898;&;&93%00.88#93131942;@078898
@E=$0788A0;D;2015/06/22,18:49:13+04;@0788A0
@E=$0788A8;M;01;@0788A8
@E=$0788B0;D;2015/06/22,19:00:00+04;@0788B0
@E=$0788B8;E;19:00;341;AE2;128;12E;1;@0788B8
@E=$0788C0;E;19:15;340;AE2;126;128;0;@0788C0
@E=$0788C8;E;19:30;340;AE2;124;128;0;@0788C8
@E=$0788D0;E;19:45;340;AE2;122;128;0;@0788D0
@E=$0788D8;E;20:00;340;AE2;123;129;0;@0788D8
@E=$0788E0;E;20:15;340;AE2;123;12A;0;@0788E0
@E=$0788E8;E;20:30;340;AE2;122;129;0;@0788E8
@E=$0788F0;E;20:45;340;AE2;122;128;0;@0788F0
@E=$0788F8;E;21:00;340;AE2;122;129;0;@0788F8
@E=$078900;E;21:15;340;AE2;122;128;0;@078900
@E=$078908;E;21:30;340;AE2;121;128;0;@078908
@E=$078910;E;21:45;33F;AE2;120;128;0;@078910
@E=$078918;E;22:00;33F;AE2;120;128;0;@078918
@E=$078920;E;22:15;33E;AE2;120;128;0;@078920
@E=$078928;E;22:30;33E;AE2;11F;127;1;@078928
@E=$078930;E;22:45;33E;AE2;11F;127;1;@078930
@E=$078938;E;23:00;33E;AE2;11E;127;1;@078938
@E=$078940;E;23:15;33E;AE2;11E;126;1;@078940
@E=$078948;E;23:30;33E;AE2;11E;126;1;@078948
@E=$078950;E;23:45;33E;AE2;11E;126;1;@078950
@E=$078958;D;2015/06/23,00:00:00+04;@078958
@E=$078960;E;00:00;33D;AE2;11E;126;1;@078960
@E=$078968;E;00:15;33D;AE2;11D;126;1;@078968
@E=$078970;E;00:30;33D;AE2;11D;126;1;@078970
@E=$078978;E;00:45;33D;AE2;11C;126;1;@078978
@E=$078980;E;01:00;33D;AE2;11C;125;0;@078980
@E=$078988;E;01:15;33D;AE2;11C;126;0;@078988
@E=$078990;E;01:30;33D;AE2;11D;126;0;@078990
@E=$078998;E;01:45;33D;AE2;11C;126;0;@078998
@E=$0789A0;E;02:00;33D;AE2;11D;126;0;@0789A0
@E=$0789A8;E;02:15;33D;AE2;11D;125;0;@0789A8
@E=$0789B0;E;02:30;33D;AE2;11D;126;0;@0789B0
@E=$0789B8;E;02:45;33D;AE2;11E;126;1;@0789B8
@E=$0789C0;E;03:00;33D;AE2;11F;127;1;@0789C0
@E=$0789C8;E;03:15;33D;AE2;120;128;1;@0789C8
@E=$0789D0;E;03:30;33D;AE2;120;128;1;@0789D0
@E=$0789D8;E;03:45;33D;AE2;120;128;1;@0789D8
@E=$0789E0;E;04:00;33D;AE2;120;128;1;@0789E0
@E=$0789E8;E;04:15;33D;AE2;120;128;1;@0789E8
@E=$0789F0;E;04:30;33D;AE2;120;128;1;@0789F0
@E=$0789F8;E;04:45;33D;AE2;120;128;1;@0789F8
@E=$078A00;E;05:00;33D;AE2;11E;127;0;@078A00
@E=$078A08;E;05:15;33D;AE2;11E;126;0;@078A08
@E=$078A10;E;05:30;33C;AE2;11D;126;0;@078A10
@E=$078A18;E;05:45;33C;AE2;11A;124;0;@078A18
@E=$078A20;E;06:00;33C;AE2;11C;124;0;@078A20
@E=$078A28;E;06:15;33C;AE2;119;122;0;@078A28
@E=$078A30;E;06:30;33B;AE2;118;122;0;@078A30
@E=$078A38;E;06:45;33B;AE2;118;122;0;@078A38
@E=$078A40;E;07:00;33B;AE2;118;122;0;@078A40
@E=$078A48;E;07:15;33B;AE2;118;123;0;@078A48
@E=$078A50;E;07:30;33B;AE2;119;124;0;@078A50
@E=$078A58;E;07:45;33B;AE2;11A;124;0;@078A58
@E=$078A60;E;08:00;33B;AE2;11B;124;0;@078A60
@E=$078A68;E;08:15;33B;AE2;11A;124;0;@078A68
@E=$078A70;E;08:30;33B;AE2;11A;124;0;@078A70
@E=$078A78;E;08:45;33B;AE2;11C;124;0;@078A78
@E=$078A80;E;09:00;33B;AE2;11C;124;0;@078A80
@E=$078A88;E;09:15;33B;AE2;11B;124;0;@078A88
@E=$078A90;E;09:30;33B;AE2;11C;124;0;@078A90
@E=$078A98;E;09:45;33B;AE2;11C;124;0;@078A98
@E=$078AA0;E;10:00;33B;AE2;11C;124;0;@078AA0
@E=$078AA8;E;10:15;33B;AE2;11B;123;0;@078AA8
@E=$078AB0;E;10:30;33B;AE2;11B;123;0;@078AB0
@E=$078AB8;E;10:45;33B;AE2;11C;123;0;@078AB8
@E=$078AC0;E;11:00;33B;AE2;11C;123;0;@078AC0
@E=$078AC8;E;11:15;33B;AE2;11C;123;0;@078AC8
@E=$078AD0;E;11:30;33B;AE2;11C;122;0;@078AD0
@E=$078AD8;E;11:45;33B;AE2;11C;123;0;@078AD8
@E=$078AE0;E;12:00;33B;AE2;11D;124;0;@078AE0
@E=$078AE8;E;12:15;33B;AE2;11E;124;0;@078AE8
@E=$078AF0;E;12:30;33B;AE2;11E;124;0;@078AF0
@E=$078AF8;E;12:45;33B;AE2;11E;124;0;@078AF8
@E=$078B00;E;13:00;33B;AE2;11E;124;0;@078B00
@E=$078B08;E;13:15;33B;AE2;11E;125;0;@078B08
@E=$078B10;E;13:30;33B;AE2;120;126;0;@078B10
@E=$078B18;E;13:45;33B;AE2;11F;126;0;@078B18
@E=$078B20;E;14:00;33C;AE2;120;126;0;@078B20
@E=$078B28;E;14:15;33C;AE2;122;126;0;@078B28
@E=$078B30;E;14:30;33C;AE2;122;127;0;@078B30
@E=$078B38;E;14:45;33C;AE2;124;127;0;@078B38
@E=$078B40;E;15:00;33C;AE2;124;127;0;@078B40
@E=$078B48;E;15:15;33C;AE2;123;127;0;@078B48
@E=$078B50;E;15:30;33C;AE2;124;126;0;@078B50
@E=$078B58;E;15:45;33C;AE2;122;126;0;@078B58
@E=$078B60;E;16:00;33B;AE2;120;124;0;@078B60
@E=$078B68;E;16:15;33B;AE2;11E;124;0;@078B68
@E=$078B70;E;16:30;33B;AE2;11C;123;0;@078B70
@E=$078B78;E;16:45;33A;AE2;11C;123;0;@078B78
@E=$078B80;E;17:00;33A;AE2;11C;123;0;@078B80
@E=$078B88;E;17:15;33A;AE2;11C;123;0;@078B88
@E=$078B90;E;17:30;33A;AE2;11C;123;0;@078B90
@E=$078B98;E;17:45;33A;AE2;11D;123;0;@078B98
@E=$078BA0;E;18:00;33A;AE2;11D;124;0;@078BA0
@E=$078BA8;E;18:15;33A;AE2;11D;124;0;@078BA8
@E=$078BB0;E;18:30;33A;AE2;11D;124;0;@078BB0
@E=$078BB8;E;18:45;33A;AE2;11C;124;0;@078BB8
@E=$078BC0;E;19:00;33A;AE2;11C;124;0;@078BC0
@E=$078BC8;E;19:15;33A;AE2;11B;124;0;@078BC8
@E=$078BD0;E;19:30;339;AE2;11A;120;0;@078BD0
@E=$078BD8;E;19:45;339;AE2;119;120;0;@078BD8
@E=$078BE0;E;20:00;339;AE2;119;121;0;@078BE0
@E=$078BE8;E;20:15;339;AE2;119;121;0;@078BE8
@E=$078BF0;E;20:30;339;AE2;118;121;0;@078BF0
@E=$078BF8;E;20:45;339;AE2;118;120;0;@078BF8
@E=$078C00;E;21:00;339;AE2;118;120;0;@078C00
@E=$078C08;E;21:15;338;AE2;118;120;0;@078C08
@E=$078C10;E;21:30;338;AE2;116;120;0;@078C10
@E=$078C18;E;21:45;338;AE2;116;11F;0;@078C18
@E=$078C20;E;22:00;338;AE2;116;11F;0;@078C20
@E=$078C28;E;22:15;338;AE2;115;11E;0;@078C28
@E=$078C30;E;22:30;337;AE2;115;11E;0;@078C30
@E=$078C38;E;22:45;337;AE2;114;11E;0;@078C38
@E=$078C40;E;23:00;337;AE2;113;11D;0;@078C40
@E=$078C48;E;23:15;337;AE2;113;11C;0;@078C48
@E=$078C50;E;23:30;337;AE2;113;11C;0;@078C50
@E=$078C58;E;23:45;337;AE2;113;11C;0;@078C58
@E=$078C60;D;2015/06/24,00:00:00+04;@078C60
@E=$078C68;E;00:00;337;AE2;114;11C;0;@078C68
