@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$0899A8;&;&93%00.88#93131942;@0899A8
@E=$0899B0;D;2015/09/20,08:22:35+04;@0899B0
@E=$0899B8;M;08;@0899B8
@E=$0899C0;D;2015/09/20,08:22:38+04;@0899C0
@E=$0899C8;A;0000D1013B1C;@0899C8
@E=$0899D0;D;2015/09/20,08:22:38+04;@0899D0
@E=$0899D8;C;2015/09/20,08:22:38+04;@0899D8
@E=$0899E0;M;08;@0899E0
@E=$0899E8;D;2015/09/20,08:22:43+04;@0899E8
@E=$0899F0;A;0000D1013B1C;@0899F0
@E=$0899F8;D;2015/09/20,08:22:43+04;@0899F8
@E=$089A00;C;2015/09/20,08:22:43+04;@089A00
@E=$089A08;M;08;@089A08
@E=$089A10;E;08:23;B55;AE2;129;132;1;@089A10
@E=$089A18;E;08:24;B52;AE2;12A;132;1;@089A18
@E=$089A20;E;08:25;B52;AE2;12A;132;0;@089A20
@E=$089A28;E;08:26;B52;AE2;12A;132;0;@089A28
@E=$089A30;E;08:27;B52;AE2;12A;131;0;@089A30
@E=$089A38;E;08:28;B52;AE2;12A;131;0;@089A38
@E=$089A40;E;08:29;B52;AE2;12A;131;0;@089A40
@E=$089A48;E;08:30;B52;AE2;12A;131;0;@089A48
@E=$089A50;E;08:31;B52;AE2;12A;131;0;@089A50
@E=$089A58;E;08:32;B6C;AE2;12C;132;1;@089A58
@E=$089A60;E;08:33;B4E;AE2;12D;133;1;@089A60
@E=$089A68;E;08:34;B4E;AE2;12D;133;1;@089A68
@E=$089A70;E;08:35;B4E;AE2;12D;133;1;@089A70
@E=$089A78;E;08:36;B4D;AE2;12D;133;1;@089A78
@E=$089A80;E;08:37;B4C;AE2;12D;133;1;@089A80
@E=$089A88;E;08:38;B4B;AE2;12D;133;1;@089A88
@E=$089A90;E;08:39;B4A;AE2;12D;133;1;@089A90
@E=$089A98;E;08:40;B48;AE2;12C;133;1;@089A98
@E=$089AA0;E;08:41;B45;AE2;12C;133;1;@089AA0
@E=$089AA8;E;08:42;B44;AE2;12C;133;1;@089AA8
@E=$089AB0;E;08:43;B42;AE2;12C;132;1;@089AB0
@E=$089AB8;E;08:44;B40;AE2;12C;133;1;@089AB8
@E=$089AC0;E;08:45;B3C;AE2;12C;133;1;@089AC0
@E=$089AC8;E;08:46;B3A;AE2;12C;133;1;@089AC8
@E=$089AD0;E;08:47;B37;AE2;12C;133;1;@089AD0
@E=$089AD8;E;08:48;B32;AE2;12C;133;1;@089AD8
@E=$089AE0;E;08:49;B30;AE2;12C;133;1;@089AE0
@E=$089AE8;E;08:50;B2D;AE2;12C;133;1;@089AE8
@E=$089AF0;E;08:51;B2B;AE2;12C;133;1;@089AF0
@E=$089AF8;E;08:52;B29;AE2;12C;133;1;@089AF8
@E=$089B00;E;08:53;B49;AE2;12E;133;1;@089B00
