year tmean par etref ptot pwinter pspring psummer pfall ettot etwinter etspring etsummer etfall
2011 16.1 13033 1461 800 293 217 26 264 454 75 161 148 69
2012 15.2 13606 1469 469 10 113 33 313 340 103 106 84 47
